Category,Product Name,Product Price,Rating,Discount,Past Details,Image URL,Shipped From,Sold By
Computers,"Lenovo L-Series 60.45cm (24 inch) | FHD IPS Ultraslim Monitor | 100Hz, 99% sRGB, HDMI, Tilt Stand, 2x3W Speakers, Smart Display Customization Artery, Home & Office Use, Grey, L24i-40","1,199",4.3 out of 5 stars,(60% off),M.R.P:,https://m.media-amazon.com/images/I/81XiAxU60oL._AC_UY218_.jpg,Amazon,PAZZO
Computers,"Lunar's Unisex 50L Water Resistant Office/Travel/Business Laptop Backpack, Bag for up to 17.3 inch Laptop/MacBook with rain Cover and 2 Large compartments","22,990",4.5 out of 5 stars,(67% off),M.R.P.:,https://m.media-amazon.com/images/I/51ulYtQOnFL._AC_UY218_.jpg,Amazon,Giganics Official Store
Computers,"GigaONE Desktop Computer Set, i7 4th Gen, 16GB RAM, 500 GB SSD,19"" HD LED Monitor, RGB Keyboard & Mouse, WiFi, Windows 10 Pro, MS Office (16-500GB)","1,74,900",4.8 out of 5 stars,(70% off),100+ bought in past month,https://m.media-amazon.com/images/I/710VJPOatmL._AC_UY218_.jpg,Amazon,Clicktech Retail Private Ltd
Computers,"Apple 2024 iMac All-in-One Desktop Computer with M4 chip with 10-core CPU and 10-core GPU: Built for Apple Intelligence, 60.96 cm (24″) Retina Display, 16GB Unified Memory, 512GB SSD Storage; Silver","20,990",4.4 out of 5 stars,,M.R.P:,https://m.media-amazon.com/images/I/51Et-lm7dML._AC_UY218_.jpg,Amazon,MegaDesk Store
Computers,"MegaDesk All-in-One Desktop Computer Set, i7 4th Gen, 8 GB RAM, 256 GB SSD, 500 GB HDD, 22"" HD LED Monitor, RGB Keyboard & Mouse, WiFi, Windows 10 Pro, MS Office (8-256-500GB)","23,890",4.4 out of 5 stars,(66% off),100+ bought in past month,https://m.media-amazon.com/images/I/51jVKG--+6L._AC_UY218_.jpg,Amazon,MegaDesk Store
Electronics,Results,"7,899",4.1 out of 5 stars,(51% off),500+ bought in past month,https://m.media-amazon.com/images/I/61464LZYZML._AC_UY218_.jpg,Amazon,Clicktech Retail Private Ltd
Electronics,"Samsung 24-inch (60.46cm) FHD, IPS, 100 Hz, 1920 x 1080 Flat Monitor, Bezel Less Design, AMD FreeSync, Flicker Free, HDMI, Display Port (LS24C330GAWXXL, Black)","1,299",3.9 out of 5 stars,(91% off),M.R.P:,https://m.media-amazon.com/images/I/61oaBSuIKbL._AC_UY218_.jpg,Amazon,Clicktech Retail Private Ltd
Electronics,"Fire-Boltt Ninja Call Pro Max 51.05mm (2.01 inch) HD Display Smart Watch, Bluetooth Calling, 120+ Sports Modes, Health Suite, Voice Assistance (Blue)",899,3.1 out of 5 stars,(64% off),1K+ bought in past month,https://m.media-amazon.com/images/I/5184OIZFKpL._AC_UY218_.jpg,Amazon,Clicktech Retail Private Ltd
Electronics,Amazon Basics 5000mAh Li-Polymer Wireless Power Bank | Two-Way Fast Charging | 20W Fast Charging Through Wire |15W Wireless Charging| for iPhone 12 and Above (White),999,3.6 out of 5 stars,(80% off),M.R.P:,https://m.media-amazon.com/images/I/61HBEE+dSOL._AC_UY218_.jpg,Amazon,Clicktech Retail Private Ltd
Electronics,Fastrack Fpods FZ100 TWS in-Ear Earbuds with Mega 50 Hrs Playtime|Extra Deep Bass Driver|Quad Mic ENC for Clear Calls|Ultra Low 40ms Latency Gaming Mode|NitroFast Charge-200 Min in 10 Min - Green,"64,999",4.4 out of 5 stars,(7% off),400+ bought in past month,https://m.media-amazon.com/images/I/71o8VehMHXL._AC_UY218_.jpg,Amazon,Darshita Electronics
Electronics,"OnePlus 12 (Silky Black, 16GB RAM, 512GB Storage)","49,998",4.2 out of 5 stars,(38% off),M.R.P:,https://m.media-amazon.com/images/I/71MsYJjQhBL._AC_UY218_.jpg,Amazon,Darshita Mobiles
Electronics,"Xiaomi 14 (Jade Green, 12GB RAM, 512GB Storage) | 50MP Leica Professional Optics | 120 Hz 1.5K LTPO AMOLED | SD 8 Gen 3 Hyper OS","29,999",3.6 out of 5 stars,(52% off),300+ bought in past month,https://m.media-amazon.com/images/I/61eqk0PFCdL._AC_UY218_.jpg,Amazon,Clicktech Retail Private Ltd
Electronics,"TECNO Phantom X2 Pro 5G Mars Orange (12GB RAM,256GB Storage) | World's 1st Retractable 50MP Portrait Lens | World's 1st 4nm Dimensity 9000 5G Processor","59,999",4.4 out of 5 stars,(55% off),"(
₹19.98/Grams)",https://m.media-amazon.com/images/I/717Qo4MH97L._AC_UY218_.jpg,Amazon,#GreenMobiles
Electronics,"OnePlus 12 (Flowy Emerald, 12GB RAM, 256GB Storage)","2,499",4.2 out of 5 stars,(31% off),M.R.P:,https://m.media-amazon.com/images/I/41qROlMXQeL._AC_UY218_.jpg,Amazon,Clicktech Retail Private Ltd
Electronics,"TP-Link AX1800 Wi-Fi 6 High Gain Antennas Bluetooth 5.2 PCIe Adapter, Dual-Band, Low-Profile Bracket, MU-MIMO, Low- Latency Gaming, Supports Windows 10/11, Highly Secure WPA3 (Archer TX20E), Black","16,999",4.1 out of 5 stars,(67% off),400+ bought in past month,https://m.media-amazon.com/images/I/81FZk5pGzFL._AC_UY218_.jpg,Amazon,Darshita Etel
Electronics,"Samsung Galaxy M35 5G (Moonlight Blue,6GB RAM,128GB Storage)| Corning Gorilla Glass Victus+| AnTuTu Score 595K+ | Vapour Cooling Chamber | 6000mAh Battery | 120Hz Super AMOLED Display| Without Charger",999,3.9 out of 5 stars,(71% off),M.R.P:,https://m.media-amazon.com/images/I/71iYR7Ob1XL._AC_UY218_.jpg,Amazon,Clicktech Retail Private Ltd
Electronics,"Boult Z60 Truly Wireless in Ear Earbuds with 60H Playtime, Zen™ ENC Mic, 50ms Low Latency, 13mm Bass Drivers, Type-C Fast Charging, Made in India, BT V5.3, Touch Control, IPX5 Ear Buds (Raven Black)","1,299",3.8 out of 5 stars,(39% off),200+ bought in past month,https://m.media-amazon.com/images/I/61bodEi+1JL._AC_UY218_.jpg,Amazon,Clicktech Retail Private Ltd
Electronics,"Noise Buds X Prime in-Ear Truly Wireless Earbuds with 120H of Playtime, Quad Mic with ENC, Instacharge(10 min=200 min),Premium Dual Tone Finish, 11mm Driver, BT v5.3(Silver Grey)","1,02,990",4.4 out of 5 stars,(74% off),M.R.P:,https://m.media-amazon.com/images/I/71YzJwmRFCL._AC_UY218_.jpg,N/A,N/A
